Sales Order Number,Sales Document Type,Sales Order Line Item,Order Create Date,Requested Delivery Date,Sold-To Party,Sold-to Name,Customer Hierarchy ,Customer Hierarchy Level 6 Text,Customer Hierarchy Level 7 Text,Material,Material Descrption,Material Status Description,Plant Material Status Description,Auth Sell Flag Description,Plant,Order Quantity Sales Unit,Sales Unit of Measure
1076867609,ZOR,280,20251114,20251118,2000823211,7-ELEVEN #36441,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300044958,GAT CLBFRTPU PET 28OZ 1PK 15CS,Material Active,Material Active,No,1379,1,CS
1076867609,ZOR,280,20251114,20251118,2000823211,7-ELEVEN #36441,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300049102,GAT CLBFRTPU PET 28OZ 1PK 15CS DRP ONLY,Material Active,Costing Required,No,1379,1,CS
1076867660,ZOR,120,20251114,20251117,2000311075,PUBLIX 1750,1000007614.0,PUBLIX,PUBLIX,300051111,MTN DEW ZS TRLICHRLEM CAN 12OZ 12P2CFM,Material Active,Material Active,No,1R60,1,CS
1076867660,ZOR,270,20251114,20251117,2000311075,PUBLIX 1750,1000007614.0,PUBLIX,PUBLIX,300009104,DR PEP ZS CHR CAN 12OZ 12P2CFM,Material Active,Material Active,No,1R60,1,CS
1076867660,ZOR,270,20251114,20251117,2000311075,PUBLIX 1750,1000007614.0,PUBLIX,PUBLIX,300056867,DR PEP ZS CHR CAN 12OZ 12P2CFM NEW,Material Active,Material Active,No,1R60,1,CS
1076867669,ZOR,210,20251114,20251118,2004806997,7-ELEVEN 44217 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300039949,CELSIUS LF SPSTBWM CN 12OZ1P12C SLK GXYV,Material Active,Material Active,No,1108,1,CS
1076867671,ZOR,110,20251114,20251118,2000984705,7-ELEVEN #35039,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300003639,MM GEN FRTLLA PET 14OZ 1P12C,Material Active,Material Active,No,1070,1,CS
1076867736,ZOR,300,20251114,20251118,2004709643,7-ELEVEN 46124 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1429,2,CS
1076867738,ZOR,250,20251114,20251118,2000578282,7-ELEVEN DIST BT,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300039949,CELSIUS LF SPSTBWM CN 12OZ1P12C SLK GXYV,Material Active,Material Active,No,1K15,1,CS
1076867775,ZOR,160,20251114,20251118,2000756980,7-ELEVEN DIST 24426/FER,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300003793,BRSK IC T SWTTEA PET 1L 1P15C,Material Active,Material Active,No,1079,1,CS
1076867775,ZOR,160,20251114,20251118,2000756980,7-ELEVEN DIST 24426/FER,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300003827,BRSK IC T SWTTEA PET 1L 1P15C S,Material Active,Material Inactive,No,1079,1,CS
1076867775,ZOR,160,20251114,20251118,2000756980,7-ELEVEN DIST 24426/FER,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300004131,BRSK IC T SWTTEA PET 1L 1P12C,Material Active,Material Inactive,No,1079,1,CS
1076867778,ZOR,250,20251114,20251118,2000368891,7-ELEVEN DIST 32820,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300050276,CELSIUS LF PNKLEMADE SLCN 12OZ1P12C FZFR,Material Active,Material Active,No,1033,1,CS
1076867778,ZOR,260,20251114,20251118,2000368891,7-ELEVEN DIST 32820,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300056774,POPPI CNBYFZ CAN 12OZ 1P12C,Material Active,Material Active,No,1033,1,CS
1076867808,ZOR,150,20251114,20251115,2004806535,7-ELEVEN 45130 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1059,3,CS
1076867808,ZOR,290,20251114,20251115,2004806535,7-ELEVEN 45130 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1059,1,CS
1076867808,ZOR,300,20251114,20251115,2004806535,7-ELEVEN 45130 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056774,POPPI CNBYFZ CAN 12OZ 1P12C,Material Active,Material Active,No,1059,1,CS
1076867808,ZOR,320,20251114,20251115,2004806535,7-ELEVEN 45130 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300039949,CELSIUS LF SPSTBWM CN 12OZ1P12C SLK GXYV,Material Active,Material Active,No,1059,1,CS
1076867950,ZOR,10,20251114,20251118,2000916517,7-ELEVEN 41265,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051203,CELSIUS LF SPKSPIZVB SLCN 12OZ1P12C,Material Active,Material Active,No,1446,4,CS
1076867950,ZOR,260,20251114,20251118,2000916517,7-ELEVEN 41265,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1446,3,CS
1076867975,ZOR,240,20251114,20251118,2000756810,7-ELEVEN DIST 13488,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300050276,CELSIUS LF PNKLEMADE SLCN 12OZ1P12C FZFR,Material Active,Material Active,No,1033,3,CS
1076868077,ZOR,280,20251114,20251118,2004895275,7-ELEVEN 44355,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1092,1,CS
1076868079,ZOR,20,20251114,20251118,2000349055,7- ELEVEN 41371,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1383,2,CS
1076868127,ZOR,180,20251114,20251118,2001153041,7-ELEVEN #35037,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300012519,CELSIUS LF SPMGPSNFR CAN 12OZ 4P 6C SLK,Material Active,Material Inactive,No,1462,2,CS
1076868238,ZOR,10,20251114,20251118,2004827146,7-ELEVEN 45839 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300051104,MTN DEW ZS TRLICHRLEM PET 20OZ 1P24C S,Material Active,Material Active,No,1032,1,CS
1076868238,ZOR,30,20251114,20251118,2004827146,7-ELEVEN 45839 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056647,POPPI WLDBR CAN 12OZ 1P12C,Material Active,Material Active,No,1032,1,CS
1076868238,ZOR,140,20251114,20251118,2004827146,7-ELEVEN 45839 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056578,POPPI DOCPOP CAN 12OZ 1P12C,Material Active,Material Active,No,1032,1,CS
1076868238,ZOR,150,20251114,20251118,2004827146,7-ELEVEN 45839 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056697,POPPI RSBYROS CAN 12OZ 1P12C,Material Active,Material Active,No,1032,1,CS
1076868238,ZOR,200,20251114,20251118,2004827146,7-ELEVEN 45839 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1032,1,CS
1076868238,ZOR,240,20251114,20251118,2004827146,7-ELEVEN 45839 SPWY,1000007582.0,7-ELEVEN ENTERPRISE,SPEEDWAY,300056774,POPPI CNBYFZ CAN 12OZ 1P12C,Material Active,Material Active,No,1032,1,CS
1076868259,ZOR,100,20251114,20251118,2000477359,7-ELEVEN #37019,1000007582.0,7-ELEVEN ENTERPRISE,7-ELEVEN LEGACY,300008760,STRBK FRP PMNTMOCH GB 13.7OZ 1P12C LSE,Material Active,Material Active,No,1446,1,CS
